
                         My traceroute  [v0.86]
crowbar (0.0.0.0)                            Fri Dec 15 16:01:24 2017
                             Packets               Pings
 Host                      Loss%   Snt   Last   Avg  Best  Wrst StDev
 1. 192.168.80.1            0.0%   101    0.1   0.3   0.1  10.0   1.0
 2. 10.86.31.254            0.0%   100    1.0   1.6   0.8  18.3   2.3
 3. 10.85.0.55              0.0%   100   20.7  19.6  11.5 111.0  12.2
 4. 137.65.2.78             0.0%   100    0.7   1.4   0.6  27.2   3.1
 5. 137.65.2.85             0.0%   100    0.5   0.5   0.4   0.7   0.0
 6. 137.65.1.246            0.0%   100    0.7   1.0   0.6  10.3   1.0
 7. 164.99.1.5              0.0%   100   17.9  18.6  17.6  28.0   1.7
 8. 149.44.1.1              0.0%   100  152.9 153.1 152.8 154.6   0.1
 9. 149.44.1.2              1.0%   100  160.9 164.2 157.4 185.2   6.1
10. 149.44.162.94           0.0%   100  160.2 165.5 157.7 183.7   6.4
11. 149.44.162.112          0.0%   100  163.5 165.4 157.9 194.9   6.7
12. gate.cloud.suse.de      0.0%   100  164.0 165.2 157.6 184.8   6.3
13. vm2.cloud.suse.de       0.0%   100  183.6 166.0 157.7 187.5   6.9

